sequence,target,function
"[8, 33, 5, 46, 84, 135]",265,tribonacci
"[6, 9, 25, 40, 74, 139]",253,tribonacci
"[6, 10, 8, 24, 42, 74]",140,tribonacci
"[38, 71, 104, 137, 170, 203]",236,arithmetic
"[14, 67, 279, 1127, 4519, 18087]",72359,linear_recursive
"[24, 19, 25, 20, 26, 21]",27,alternating_add_subtract
"[84, 59, 34, 9, -16, -41]",-66,arithmetic
"[24, 32, 17, 73, 122, 212]",407,tribonacci
"[16, 21, 105, 110, 550, 555]",2775,alternating_sequence
"[37, 19, 40, 96, 155, 291]",542,tribonacci
"[48, 94, 140, 186, 232, 278]",324,arithmetic
"[2, 16, 32, 50, 98, 180]",328,tribonacci
"[15, 9, 18, 24, 27, 42]",51,padovan
"[2, 44, 4, 50, 98, 152]",300,tribonacci
"[11, 19, 14, 25, 44, 58]",83,generate_sequence
"[10, 6, 11, 7, 12, 8]",13,alternating_add_subtract
"[5, 42, 12, 59, 113, 184]",356,tribonacci
"[26, 49, 72, 95, 118, 141]",164,arithmetic
"[48, 24, 11, 83, 118, 212]",413,tribonacci
"[13, -23, -59, -95, -131, -167]",-203,arithmetic
"[72, 117, 162, 207, 252, 297]",342,arithmetic
"[8, 20, 10, 28, 30, 38]",58,padovan
"[9, 15, 24, 48, 87, 159]",294,tribonacci
"[20, 46, 72, 98, 124, 150]",176,arithmetic
"[12, 12, 16, 28, 40, 56]",84,generate_sequence
"[4, 33, 62, 91, 120, 149]",178,arithmetic
"[16, 0, -16, -32, -48, -64]",-80,arithmetic
"[34, 33, 40, 39, 46, 45]",52,alternating_add_subtract
"[23, 8, 3, 34, 45, 82]",161,tribonacci
"[3, 9, 21, 51, 123, 297]",717,pell
"[31, 39, 50, 120, 209, 379]",708,tribonacci
"[11, 9, 5, 16, 25, 30]",46,generate_sequence
"[43, 20, -3, -26, -49, -72]",-95,arithmetic
"[26, 40, 160, 174, 696, 710]",2840,alternating_sequence
"[12, 15, 23, 50, 88, 161]",299,tribonacci
"[29, 71, 155, 323, 659, 1331]",2675,linear_recursive
"[20, 2, 3, 23, 25, 28]",51,generate_sequence
"[10, 17, 11, 21, 38, 49]",70,generate_sequence
"[20, 14, 20, 40, 54, 74]",114,generate_sequence
"[2, 3, 20, 5, 23, 25]",28,padovan
"[50, 54, 216, 220, 880, 884]",3536,alternating_sequence
"[50, 35, 20, 5, -10, -25]",-40,arithmetic
"[11, 1, 2, -8, -7, -17]",-16,alternating_add_subtract
"[1, -4, -1, -6, -3, -8]",-5,alternating_add_subtract
"[15, 14, 10, 39, 63, 112]",214,tribonacci
"[89, 109, 129, 149, 169, 189]",209,arithmetic
"[49, 26, 3, -20, -43, -66]",-89,arithmetic
"[29, 1, -27, -55, -83, -111]",-139,arithmetic
"[50, 62, 248, 260, 1040, 1052]",4208,alternating_sequence
"[37, 47, 47, 131, 225, 403]",759,tribonacci
"[34, 41, 11, 86, 138, 235]",459,tribonacci
"[26, 20, 29, 23, 32, 26]",35,alternating_add_subtract
"[11, 4, 10, 21, 25, 35]",56,generate_sequence
"[23, 34, 30, 87, 151, 268]",506,tribonacci
"[14, 7, 41, 62, 110, 213]",385,tribonacci
"[44, 19, 7, 70, 96, 173]",339,tribonacci
"[5, 13, 3, 8, 21, 24]",32,generate_sequence
"[19, 17, 2, 36, 19, 38]",55,padovan
"[3, 18, 93, 468, 2343, 11718]",58593,linear_recursive
"[45, 27, 9, -9, -27, -45]",-63,arithmetic
"[1, 17, 16, 18, 33, 34]",51,padovan
"[16, 18, 1, 17, 35, 36]",53,generate_sequence
"[15, 85, 435, 2185, 10935, 54685]",273435,linear_recursive
"[43, 13, -17, -47, -77, -107]",-137,arithmetic
"[49, 110, 232, 476, 964, 1940]",3892,linear_recursive
"[6, 5, 12, 11, 18, 17]",24,alternating_add_subtract
"[46, 38, 45, 37, 44, 36]",43,alternating_add_subtract
"[4, 26, 24, 54, 104, 182]",340,tribonacci
"[49, 46, 39, 134, 219, 392]",745,tribonacci
"[20, 32, 31, 83, 146, 260]",489,tribonacci
"[1, 6, 6, 7, 13, 19]",26,generate_sequence
"[7, 15, 15, 22, 37, 52]",74,generate_sequence
"[23, 65, 107, 149, 191, 233]",275,arithmetic
"[3, 6, 29, 38, 73, 140]",251,tribonacci
"[17, 1, 6, 23, 24, 30]",53,generate_sequence
"[42, 29, 33, 104, 166, 303]",573,tribonacci
"[40, 35, 41, 116, 192, 349]",657,tribonacci
"[20, 5, 36, 61, 102, 199]",362,tribonacci
"[64, 58, 52, 46, 40, 34]",28,arithmetic
"[20, 8, 2, 22, 30, 32]",54,generate_sequence
"[4, -4, 0, -8, -4, -12]",-8,alternating_add_subtract
"[32, 25, 5, 62, 92, 159]",313,tribonacci
"[49, 46, 34, 129, 209, 372]",710,tribonacci
"[18, 7, 7, 32, 46, 85]",163,tribonacci
"[86, 126, 166, 206, 246, 286]",326,arithmetic
"[86, 76, 81, 71, 76, 66]",71,alternating_add_subtract
"[7, 7, 10, 14, 17, 24]",31,padovan
"[15, 9, 15, 9, 15, 9]",15,alternating_add_subtract
"[52, 55, 58, 61, 64, 67]",70,arithmetic
"[19, 11, 7, 26, 37, 44]",70,generate_sequence
"[22, 1, 25, 48, 74, 147]",269,tribonacci
"[24, 30, 8, 62, 100, 170]",332,tribonacci
"[28, 10, 10, 48, 68, 126]",242,tribonacci
"[1, 13, 1, 15, 29, 45]",89,tribonacci
"[3, 10, 3, 6, 16, 19]",25,generate_sequence
"[61, 51, 60, 50, 59, 49]",58,alternating_add_subtract
"[6, 9, 19, 25, 34, 53]",78,generate_sequence
"[35, 27, 44, 106, 177, 327]",610,tribonacci
"[12, 3, 19, 15, 22, 34]",37,padovan
"[17, 37, 2, 56, 95, 153]",304,tribonacci
"[27, 17, 22, 12, 17, 7]",12,alternating_add_subtract
"[42, 46, 92, 96, 192, 196]",392,alternating_sequence
"[17, 13, 7, 30, 20, 37]",50,padovan
"[15, 25, 125, 135, 675, 685]",3425,alternating_sequence
"[2, 19, 10, 21, 29, 31]",50,padovan
"[17, 13, 17, 30, 30, 47]",60,padovan
"[87, 81, 85, 79, 83, 77]",81,alternating_add_subtract
"[22, 28, 13, 63, 104, 180]",347,tribonacci
"[12, 31, 43, 74, 117, 191]",308,fibonacci
"[5, 20, 12, 17, 37, 49]",66,generate_sequence
"[31, 35, 4, 70, 109, 183]",362,tribonacci
"[13, 50, 46, 109, 205, 360]",674,tribonacci
"[2, 15, 17, 34, 66, 117]",217,tribonacci
"[18, 32, 13, 63, 108, 184]",355,tribonacci
"[9, 18, 16, 25, 43, 59]",84,generate_sequence
"[46, 44, 53, 51, 60, 58]",67,alternating_add_subtract
"[33, 34, 13, 80, 127, 220]",427,tribonacci
"[36, 74, 112, 150, 188, 226]",264,arithmetic
"[3, -3, 7, 1, 11, 5]",15,alternating_add_subtract
"[8, 38, 41, 87, 166, 294]",547,tribonacci
"[13, 12, 17, 25, 29, 42]",54,padovan
"[36, 32, 33, 29, 30, 26]",27,alternating_add_subtract
"[23, 59, 95, 131, 167, 203]",239,arithmetic
"[13, 11, 40, 64, 115, 219]",398,tribonacci
"[15, 47, 18, 80, 145, 243]",468,tribonacci
"[16, 39, 29, 84, 152, 265]",501,tribonacci
"[23, 2, 17, 42, 61, 120]",223,tribonacci
"[26, 3, 35, 64, 102, 201]",367,tribonacci
"[55, 99, 143, 187, 231, 275]",319,arithmetic
"[69, 67, 71, 69, 73, 71]",75,alternating_add_subtract
"[1, -7, 2, -6, 3, -5]",4,alternating_add_subtract
"[81, 45, 9, -27, -63, -99]",-135,arithmetic
"[14, 26, 20, 60, 106, 186]",352,tribonacci
"[94, 89, 91, 86, 88, 83]",85,alternating_add_subtract
"[20, 11, 13, 31, 24, 44]",55,padovan
"[18, 42, 13, 73, 128, 214]",415,tribonacci
"[34, 66, 98, 130, 162, 194]",226,arithmetic
"[13, 11, 16, 29, 40, 56]",85,generate_sequence
"[40, 17, 57, 74, 131, 205]",336,fibonacci
"[19, 11, 5, 24, 35, 40]",64,generate_sequence
"[84, 81, 90, 87, 96, 93]",102,alternating_add_subtract
"[36, 39, 49, 124, 212, 385]",721,tribonacci
"[25, 19, 20, 14, 15, 9]",10,alternating_add_subtract
"[97, 87, 95, 85, 93, 83]",91,alternating_add_subtract
"[8, 6, 18, 14, 24, 32]",38,padovan
"[1, 9, 14, 10, 23, 24]",33,padovan
"[35, 33, 43, 41, 51, 49]",59,alternating_add_subtract
"[35, 43, 14, 92, 149, 255]",496,tribonacci
"[37, 18, 31, 86, 135, 252]",473,tribonacci
"[14, 5, 11, 19, 16, 30]",35,padovan
"[34, 45, 10, 89, 144, 243]",476,tribonacci
"[37, 45, 29, 111, 185, 325]",621,tribonacci
"[24, 29, 4, 57, 90, 151]",298,tribonacci
"[18, 14, 11, 32, 25, 43]",57,padovan
"[4, 3, 37, 44, 84, 165]",293,tribonacci
"[8, 41, 3, 52, 96, 151]",299,tribonacci
"[1, 25, 20, 46, 91, 157]",294,tribonacci
"[13, 10, 15, 28, 38, 53]",81,generate_sequence
"[46, 49, 147, 150, 450, 453]",1359,alternating_sequence
"[16, 12, 22, 18, 28, 24]",34,alternating_add_subtract
"[46, 16, 30, 92, 138, 260]",490,tribonacci
"[0, -5, -10, -15, -20, -25]",-30,arithmetic
"[18, 86, 358, 1446, 5798, 23206]",92838,linear_recursive
"[40, 34, 37, 111, 182, 330]",623,tribonacci
"[17, 7, 20, 24, 27, 44]",51,padovan
"[13, 7, 6, 20, 13, 26]",33,padovan
"[5, 12, 3, 17, 15, 20]",32,padovan
"[34, 34, 7, 75, 116, 198]",389,tribonacci
"[19, 49, 3, 71, 123, 197]",391,tribonacci
"[20, 18, 10, 38, 28, 48]",66,padovan
"[30, 28, 37, 35, 44, 42]",51,alternating_add_subtract
"[7, 17, 10, 34, 61, 105]",200,tribonacci
"[32, 30, 38, 36, 44, 42]",50,alternating_add_subtract
"[44, 14, 21, 79, 114, 214]",407,tribonacci
"[14, 24, 29, 67, 120, 216]",403,tribonacci
"[12, 12, 12, 24, 36, 48]",72,generate_sequence
"[15, 43, 49, 107, 199, 355]",661,tribonacci
"[5, 8, 24, 27, 81, 84]",252,alternating_sequence
"[4, 4, 11, 8, 15, 19]",23,padovan
"[38, 40, 39, 117, 196, 352]",665,tribonacci
"[31, 52, 73, 94, 115, 136]",157,arithmetic
"[48, 41, 6, 95, 142, 243]",480,tribonacci
"[15, 10, 43, 68, 121, 232]",421,tribonacci
"[53, 44, 46, 37, 39, 30]",32,alternating_add_subtract
"[3, 11, 44, 52, 208, 216]",864,alternating_sequence
"[9, 11, 30, 50, 91, 171]",312,tribonacci
"[17, 6, 5, 22, 28, 33]",55,generate_sequence
"[22, 38, 54, 70, 86, 102]",118,arithmetic
"[3, 20, 105, 530, 2655, 13280]",66405,linear_recursive
"[45, 45, 45, 45, 45, 45]",45,arithmetic
"[26, 26, 39, 91, 156, 286]",533,tribonacci
"[41, 40, 48, 47, 55, 54]",62,alternating_add_subtract
"[15, 41, 28, 84, 153, 265]",502,tribonacci
"[9, 43, 20, 72, 135, 227]",434,tribonacci
"[18, 19, 5, 42, 66, 113]",221,tribonacci
"[10, 14, 4, 24, 18, 28]",42,padovan
"[11, 16, 16, 27, 32, 43]",59,padovan
"[28, 26, 37, 91, 154, 282]",527,tribonacci
"[17, 1, 16, 33, 34, 50]",83,generate_sequence
"[67, 86, 105, 124, 143, 162]",181,arithmetic
"[30, 25, 19, 74, 118, 211]",403,tribonacci
"[4, -4, 2, -6, 0, -8]",-2,alternating_add_subtract
"[26, 91, 286, 871, 2626, 7891]",23686,linear_recursive
"[20, 10, 2, 30, 12, 32]",42,padovan
"[17, 44, 11, 72, 127, 210]",409,tribonacci
"[4, 46, 39, 89, 174, 302]",565,tribonacci
"[33, 34, 170, 171, 855, 856]",4280,alternating_sequence
"[26, 25, 40, 91, 156, 287]",534,tribonacci
"[40, 10, 32, 82, 124, 238]",444,tribonacci
"[32, 35, 175, 178, 890, 893]",4465,alternating_sequence
"[3, 1, 12, 4, 13, 16]",17,padovan
"[6, 7, 19, 25, 32, 51]",76,generate_sequence
"[31, 1, -29, -59, -89, -119]",-149,arithmetic
"[37, 42, 5, 84, 131, 220]",435,tribonacci
"[22, 7, 20, 49, 76, 145]",270,tribonacci
"[50, 47, 53, 50, 56, 53]",59,alternating_add_subtract
"[42, 49, 5, 96, 150, 251]",497,tribonacci
"[43, 4, 28, 75, 107, 210]",392,tribonacci
"[27, 11, 13, 51, 75, 139]",265,tribonacci
"[81, 103, 125, 147, 169, 191]",213,arithmetic
"[85, 77, 86, 78, 87, 79]",88,alternating_add_subtract
"[23, 55, 87, 119, 151, 183]",215,arithmetic
"[93, 83, 91, 81, 89, 79]",87,alternating_add_subtract
"[8, 23, 53, 113, 233, 473]",953,linear_recursive
"[43, 1, 32, 76, 109, 217]",402,tribonacci
"[2, 20, 4, 6, 26, 30]",36,generate_sequence
"[3, 15, 10, 18, 25, 28]",43,padovan
"[11, 11, 7, 18, 29, 36]",54,generate_sequence
"[39, -6, -51, -96, -141, -186]",-231,arithmetic
"[55, 46, 51, 42, 47, 38]",43,alternating_add_subtract
"[41, 3, 14, 58, 75, 147]",280,tribonacci
"[6, 19, 4, 25, 23, 29]",48,padovan
"[1, -5, -2, -8, -5, -11]",-8,alternating_add_subtract
"[20, 15, 13, 33, 48, 61]",94,generate_sequence
"[50, 9, 29, 88, 126, 243]",457,tribonacci
"[10, 4, 6, 16, 20, 26]",42,generate_sequence
"[23, 110, 458, 1850, 7418, 29690]",118778,linear_recursive
"[99, 98, 106, 105, 113, 112]",120,alternating_add_subtract
"[3, 12, 19, 15, 31, 34]",46,padovan
"[47, 47, 33, 127, 207, 367]",701,tribonacci
"[24, 37, 34, 95, 166, 295]",556,tribonacci
"[17, 14, 3, 20, 34, 37]",57,generate_sequence
"[31, 126, 506, 2026, 8106, 32426]",129706,linear_recursive
"[72, 70, 79, 77, 86, 84]",93,alternating_add_subtract
"[64, 61, 69, 66, 74, 71]",79,alternating_add_subtract
"[4, 10, 5, 14, 15, 19]",29,padovan
"[2, 11, 5, 18, 34, 57]",109,tribonacci
"[11, 42, 17, 70, 129, 216]",415,tribonacci
"[33, 15, -3, -21, -39, -57]",-75,arithmetic
"[19, 17, 8, 44, 69, 121]",234,tribonacci
"[100, 90, 98, 88, 96, 86]",94,alternating_add_subtract
"[19, 97, 487, 2437, 12187, 60937]",304687,linear_recursive
"[7, 4, 12, 9, 17, 14]",22,alternating_add_subtract
"[81, 74, 79, 72, 77, 70]",75,alternating_add_subtract
"[27, 95, 299, 911, 2747, 8255]",24779,linear_recursive
"[4, 7, 16, 20, 27, 43]",63,generate_sequence
"[10, 1, 16, 26, 27, 43]",69,generate_sequence
"[7, -16, -39, -62, -85, -108]",-131,arithmetic
"[6, 16, 7, 13, 29, 36]",49,generate_sequence
"[32, 19, 14, 65, 98, 177]",340,tribonacci
"[19, 24, 6, 49, 79, 134]",262,tribonacci
"[13, 18, 23, 28, 33, 38]",43,arithmetic
"[27, 16, 31, 74, 121, 226]",421,tribonacci
"[48, 33, 28, 109, 170, 307]",586,tribonacci
"[75, 52, 29, 6, -17, -40]",-63,arithmetic
"[1, 18, 16, 17, 35, 51]",68,generate_sequence
"[8, 36, 38, 82, 156, 276]",514,tribonacci
"[5, -3, -2, -10, -9, -17]",-16,alternating_add_subtract
"[63, 57, 67, 61, 71, 65]",75,alternating_add_subtract
"[91, 118, 145, 172, 199, 226]",253,arithmetic
"[10, 2, 7, -1, 4, -4]",1,alternating_add_subtract
"[31, 23, 20, 74, 117, 211]",402,tribonacci
"[13, 6, 23, 42, 71, 136]",249,tribonacci
"[54, 71, 88, 105, 122, 139]",156,arithmetic
"[34, 154, 634, 2554, 10234, 40954]",163834,linear_recursive
"[18, 49, 42, 109, 200, 351]",660,tribonacci
"[26, 7, 36, 69, 112, 217]",398,tribonacci
"[4, 14, 44, 134, 404, 1214]",3644,linear_recursive
"[14, 11, 7, 25, 18, 32]",43,padovan
"[46, 74, 102, 130, 158, 186]",214,arithmetic
"[46, 8, 62, 132, 326, 784]",1894,pell
"[45, 8, -29, -66, -103, -140]",-177,arithmetic
"[27, 23, 33, 29, 39, 35]",45,alternating_add_subtract
"[32, 24, 31, 23, 30, 22]",29,alternating_add_subtract
"[48, 50, 52, 54, 56, 58]",60,arithmetic
"[36, 18, 29, 83, 130, 242]",455,tribonacci
"[90, 116, 142, 168, 194, 220]",246,arithmetic
"[4, 15, 27, 46, 88, 161]",295,tribonacci
"[38, 40, 80, 82, 164, 166]",332,alternating_sequence
"[4, 18, 6, 10, 28, 34]",44,generate_sequence
"[50, 152, 458, 1376, 4130, 12392]",37178,linear_recursive
"[28, 22, 15, 65, 102, 182]",349,tribonacci
"[11, 10, 15, 14, 19, 18]",23,alternating_add_subtract
"[53, 22, -9, -40, -71, -102]",-133,arithmetic
"[5, 29, 11, 45, 85, 141]",271,tribonacci
"[18, 19, 11, 29, 48, 59]",88,generate_sequence
"[1, 2, 9, 10, 12, 21]",31,generate_sequence
"[24, 23, 25, 72, 120, 217]",409,tribonacci
"[33, 47, 235, 249, 1245, 1259]",6295,alternating_sequence
"[6, 10, 8, 14, 24, 32]",46,generate_sequence
"[8, 23, 5, 36, 64, 105]",205,tribonacci
"[11, 7, 15, 26, 33, 48]",74,generate_sequence
"[39, 31, 35, 27, 31, 23]",27,alternating_add_subtract
"[54, 30, 6, -18, -42, -66]",-90,arithmetic
"[15, 13, 20, 18, 25, 23]",30,alternating_add_subtract
"[14, 2, 3, 17, 19, 22]",39,generate_sequence
"[11, 5, 12, 6, 13, 7]",14,alternating_add_subtract
"[89, 74, 59, 44, 29, 14]",-1,arithmetic
"[3, 38, 42, 83, 163, 288]",534,tribonacci
"[24, 17, 18, 59, 94, 171]",324,tribonacci
"[50, 27, 104, 235, 574, 1383]",3340,pell
"[9, 6, 6, 15, 12, 21]",27,padovan
"[70, 100, 130, 160, 190, 220]",250,arithmetic
"[4, 6, 6, 10, 12, 16]",22,padovan
"[16, 19, 12, 28, 47, 59]",87,generate_sequence
"[11, 32, 53, 74, 95, 116]",137,arithmetic
"[29, 35, 39, 103, 177, 319]",599,tribonacci
"[86, 78, 79, 71, 72, 64]",65,alternating_add_subtract
"[44, 90, 136, 182, 228, 274]",320,arithmetic
"[21, 17, 19, 15, 17, 13]",15,alternating_add_subtract
"[3, 24, 24, 51, 99, 174]",324,tribonacci
"[13, 3, 12, 28, 43, 83]",154,tribonacci
"[17, 3, 6, 20, 9, 26]",29,padovan
"[47, 32, 6, 85, 123, 214]",422,tribonacci
"[2, 4, 3, 5, 9, 12]",17,generate_sequence
"[90, 135, 180, 225, 270, 315]",360,arithmetic
"[42, 65, 88, 111, 134, 157]",180,arithmetic
"[36, 1, -34, -69, -104, -139]",-174,arithmetic
"[29, 27, 25, 23, 21, 19]",17,arithmetic
"[32, 1, 26, 59, 86, 171]",316,tribonacci
"[32, 5, 41, 78, 124, 243]",445,tribonacci
"[4, 36, 45, 85, 166, 296]",547,tribonacci
"[12, 14, 42, 44, 132, 134]",402,alternating_sequence
"[40, 17, -6, -29, -52, -75]",-98,arithmetic
"[34, 42, 40, 116, 198, 354]",668,tribonacci
"[2, 5, 1, 7, 6, 8]",13,padovan
"[99, 82, 65, 48, 31, 14]",-3,arithmetic
"[44, 13, 1, 58, 72, 131]",261,tribonacci
"[36, 30, 38, 32, 40, 34]",42,alternating_add_subtract
"[15, 92, 477, 2402, 12027, 60152]",300777,linear_recursive
"[11, 11, 15, 26, 37, 52]",78,generate_sequence
"[8, 9, 10, 11, 12, 13]",14,arithmetic
"[11, 17, 14, 28, 31, 42]",59,padovan
"[25, 34, 48, 107, 189, 344]",640,tribonacci
"[41, 42, 84, 85, 170, 171]",342,alternating_sequence
"[7, 41, 15, 63, 119, 197]",379,tribonacci
"[8, 16, 1, 24, 17, 25]",41,padovan
"[3, 6, 10, 13, 19, 29]",42,generate_sequence
"[14, 16, 10, 24, 40, 50]",74,generate_sequence
"[17, 24, 22, 63, 109, 194]",366,tribonacci
"[15, 4, 10, 25, 29, 39]",64,generate_sequence
"[21, 70, 119, 168, 217, 266]",315,arithmetic
"[27, 15, 1, 43, 59, 103]",205,tribonacci
"[35, 10, 17, 62, 89, 168]",319,tribonacci
"[37, 28, 38, 29, 39, 30]",40,alternating_add_subtract
"[24, 17, 21, 14, 18, 11]",15,alternating_add_subtract
"[1, -15, -31, -47, -63, -79]",-95,arithmetic
"[11, 11, 2, 24, 37, 63]",124,tribonacci
"[48, 27, 49, 124, 200, 373]",697,tribonacci
"[18, 17, 15, 50, 82, 147]",279,tribonacci
"[10, 6, 21, 37, 64, 122]",223,tribonacci
"[5, 49, 18, 72, 139, 229]",440,tribonacci
"[76, 71, 79, 74, 82, 77]",85,alternating_add_subtract
"[11, 20, 1, 31, 21, 32]",52,padovan
"[46, 38, 42, 34, 38, 30]",34,alternating_add_subtract
"[36, 10, 44, 90, 144, 278]",512,tribonacci
"[40, 34, 13, 87, 134, 234]",455,tribonacci
"[24, 17, 32, 73, 122, 227]",422,tribonacci
"[20, 59, 137, 293, 605, 1229]",2477,linear_recursive
"[43, 49, 8, 100, 157, 265]",522,tribonacci
"[83, 46, 9, -28, -65, -102]",-139,arithmetic
"[3, 16, 1, 19, 17, 20]",36,padovan
"[9, 13, 13, 22, 35, 48]",70,generate_sequence
"[44, 41, 126, 293, 712, 1717]",4146,pell
"[22, 43, 38, 103, 184, 325]",612,tribonacci
"[22, 49, 9, 80, 138, 227]",445,tribonacci
"[46, 14, 1, 61, 76, 138]",275,tribonacci
"[24, 26, 40, 90, 156, 286]",532,tribonacci
"[59, 56, 62, 59, 65, 62]",68,alternating_add_subtract
"[11, 11, 8, 19, 30, 38]",57,generate_sequence
"[29, 49, 42, 120, 211, 373]",704,tribonacci
"[14, 27, 44, 85, 156, 285]",526,tribonacci
"[20, 29, 145, 154, 770, 779]",3895,alternating_sequence
"[1, -1, 2, 0, 3, 1]",4,alternating_add_subtract
"[90, 81, 85, 76, 80, 71]",75,alternating_add_subtract
"[9, 15, 1, 24, 16, 25]",40,padovan
"[18, 80, 328, 1320, 5288, 21160]",84648,linear_recursive
"[22, 47, 36, 105, 188, 329]",622,tribonacci
"[4, 18, 25, 47, 90, 162]",299,tribonacci
"[38, 44, 126, 296, 718, 1732]",4182,pell
"[19, 20, 33, 72, 125, 230]",427,tribonacci
"[24, 37, 74, 87, 174, 187]",374,alternating_sequence
"[53, 34, 15, -4, -23, -42]",-61,arithmetic
"[13, 14, 5, 32, 51, 88]",171,tribonacci
"[96, 143, 190, 237, 284, 331]",378,arithmetic
"[5, 32, 23, 60, 115, 198]",373,tribonacci
"[5, 16, 17, 21, 33, 38]",54,padovan
"[11, 31, 93, 113, 339, 359]",1077,alternating_sequence
"[38, 42, 22, 102, 166, 290]",558,tribonacci
"[91, 135, 179, 223, 267, 311]",355,arithmetic
"[24, 45, 7, 76, 128, 211]",415,tribonacci
"[7, 15, 20, 27, 42, 62]",89,generate_sequence
"[35, 20, 16, 71, 107, 194]",372,tribonacci
"[65, 48, 31, 14, -3, -20]",-37,arithmetic
"[2, 15, 5, 17, 20, 22]",37,padovan
"[8, 6, 4, 14, 10, 18]",24,padovan
"[13, 18, 20, 31, 38, 51]",69,padovan
"[23, 18, 7, 48, 73, 128]",249,tribonacci
"[2, 36, 47, 85, 168, 300]",553,tribonacci
"[33, 27, 35, 29, 37, 31]",39,alternating_add_subtract
"[39, 30, 39, 30, 39, 30]",39,alternating_add_subtract
"[61, 58, 63, 60, 65, 62]",67,alternating_add_subtract
"[1, 11, 31, 71, 151, 311]",631,linear_recursive
"[15, 10, 13, 28, 38, 51]",79,generate_sequence
"[20, 6, 1, 21, 27, 28]",49,generate_sequence
"[14, 2, 1, 16, 3, 17]",19,padovan
"[6, 8, 18, 24, 32, 50]",74,generate_sequence
"[1, 5, 2, 6, 7, 8]",13,padovan
"[12, 13, 17, 25, 30, 42]",55,padovan
"[17, 47, 30, 94, 171, 295]",560,tribonacci
"[51, 47, 54, 50, 57, 53]",60,alternating_add_subtract
"[19, 1, 14, 33, 34, 48]",81,generate_sequence
"[10, 49, 48, 107, 204, 359]",670,tribonacci
"[7, 45, 197, 805, 3237, 12965]",51877,linear_recursive
"[10, 17, 12, 22, 39, 51]",73,generate_sequence
"[34, 10, 1, 45, 56, 102]",203,tribonacci
"[16, 19, 1, 17, 36, 37]",54,generate_sequence
"[7, 2, 3, 10, 12, 15]",25,generate_sequence
"[11, 16, 4, 15, 31, 35]",50,generate_sequence
"[22, 46, 31, 99, 176, 306]",581,tribonacci
"[5, 17, 25, 47, 89, 161]",297,tribonacci
"[31, 29, 89, 207, 503, 1213]",2929,pell
"[18, 10, 20, 38, 48, 68]",106,generate_sequence
"[9, 5, 4, 14, 9, 18]",23,padovan
"[39, 20, 24, 83, 127, 234]",444,tribonacci
"[9, 9, 19, 28, 37, 56]",84,generate_sequence
"[28, 14, 46, 88, 148, 282]",518,tribonacci
"[24, 139, 714, 3589, 17964, 89839]",449214,linear_recursive
"[42, 70, 98, 126, 154, 182]",210,arithmetic
"[1, 5, 13, 14, 19, 32]",46,generate_sequence
"[31, 17, 31, 79, 127, 237]",443,tribonacci
"[9, 3, 8, 17, 20, 28]",45,generate_sequence
"[25, 26, 16, 67, 109, 192]",368,tribonacci
"[6, 45, 84, 123, 162, 201]",240,arithmetic
"[8, 5, 16, 24, 29, 45]",69,generate_sequence
"[8, 23, 31, 62, 116, 209]",387,tribonacci
"[12, 24, 48, 60, 120, 132]",264,alternating_sequence
"[98, 92, 99, 93, 100, 94]",101,alternating_add_subtract
"[28, 10, 50, 88, 148, 286]",522,tribonacci
"[18, 17, 11, 35, 28, 46]",63,padovan
"[20, 16, 18, 36, 34, 54]",70,padovan
"[15, 50, 85, 120, 155, 190]",225,arithmetic
"[2, 12, 18, 14, 30, 32]",44,padovan
"[5, 28, 46, 79, 153, 278]",510,tribonacci
"[44, 17, 34, 95, 146, 275]",516,tribonacci
"[5, 2, 3, 7, 5, 10]",12,padovan
"[23, 14, 46, 83, 143, 272]",498,tribonacci
"[37, 31, 41, 109, 181, 331]",621,tribonacci
"[6, 9, 4, 10, 19, 23]",33,generate_sequence
"[1, 6, 24, 31, 61, 116]",208,tribonacci
"[83, 83, 83, 83, 83, 83]",83,arithmetic
"[11, 20, 13, 31, 33, 44]",64,padovan
"[10, 14, 17, 24, 31, 41]",55,padovan
"[36, 26, 1, 63, 90, 154]",307,tribonacci
"[6, 6, 29, 41, 76, 146]",263,tribonacci
"[73, 63, 67, 57, 61, 51]",55,alternating_add_subtract
"[95, 137, 179, 221, 263, 305]",347,arithmetic
"[6, 26, 37, 69, 132, 238]",439,tribonacci
"[8, -39, -86, -133, -180, -227]",-274,arithmetic
"[55, 48, 50, 43, 45, 38]",40,alternating_add_subtract
"[20, 13, 19, 52, 84, 155]",291,tribonacci
"[90, 86, 94, 90, 98, 94]",102,alternating_add_subtract
"[64, 60, 56, 52, 48, 44]",40,arithmetic
"[13, 10, 9, 22, 32, 41]",63,generate_sequence
"[3, 8, 13, 16, 24, 37]",53,generate_sequence
"[15, 12, 3, 27, 15, 30]",42,padovan
"[42, 20, 34, 96, 150, 280]",526,tribonacci
"[23, 43, 39, 105, 187, 331]",623,tribonacci
"[27, 38, 190, 201, 1005, 1016]",5080,alternating_sequence
"[10, 25, 75, 90, 270, 285]",855,alternating_sequence
"[32, 50, 200, 218, 872, 890]",3560,alternating_sequence
"[44, -3, -50, -97, -144, -191]",-238,arithmetic
"[3, 10, 12, 15, 25, 37]",52,generate_sequence
"[2, 2, 20, 4, 22, 24]",26,padovan
"[2, 20, 6, 8, 28, 34]",42,generate_sequence
